,templeId,address,latitude,longitude
0,bountiful-utah-temple,640 S Bountiful Blvd Bountiful UT  84010-1394 United States,,
1,brigham-city-utah-temple,250 S Main St Brigham City UT  84302-2560 United States,,
2,cedar-city-utah-temple,280 South Cove Dr Cedar City UT  84720 United States,,
3,deseret-peak-utah-temple,2400 N 400 W Tooele UT 84074 United States,,
4,draper-utah-temple,14065 Canyon Vista Ln Draper UT  84020-5626 United States,,
5,jordan-river-utah-temple,10200 S Temple Drive South Jordan UT  84095-8814 United States,,
6,layton-utah-temple,1400 Oak Hills Dr Layton UT 84040 United States,,
7,logan-utah-temple,175 N 300 E Logan UT  84321-4720 United States,,
8,manti-utah-temple,200 E 510 N Manti UT  84642-1701 United States,,
9,monticello-utah-temple,365 N 200 W Monticello UT  84535 United States,,
10,mount-timpanogos-utah-temple,742 N 900 E American Fork UT  84003-9124 United States,,
11,ogden-utah-temple,350 22nd St Ogden UT  84401-1487 United States,,
12,oquirrh-mountain-utah-temple,11022 S 4000 W South Jordan UT  84009-5797 United States,,
13,orem-utah-temple,1471 S Geneva Rd Orem UT  84058 United States,,
14,payson-utah-temple,1494 S 930 W Payson UT  84651 United States,,
15,provo-city-center-temple,50 South University Ave Provo UT  84601 United States,,
16,provo-utah-temple,2200 Temple Hill Dr Provo UT  84604-1775 United States,,
17,red-cliffs-utah-temple,1580 S St St George UT 84790 United States,,
18,salt-lake-temple,50 W North Temple St Salt Lake City UT  84150-9709 United States,,
19,saratoga-springs-utah-temple,987 South Ensign Drive Saratoga Springs UT  84045-3839 United States,,
20,st.-george-utah-temple,250 E 400 S St George UT  84770-3699 United States,,
21,syracuse-utah-temple,1025 S 2500 W Syracuse UT 84075 United States,,
22,taylorsville-utah-temple,2603 W 4700 S Taylorsville UT  84129 United States,,
23,vernal-utah-temple,420 W 200 S Vernal UT  84078-2536 United States,,
